"Freq [GHz]","ang_deg(S(FloquetPort1:1,FloquetPort1:1)) [deg]","ang_deg(S(FloquetPort2:1,FloquetPort2:1)) [deg]"
1,-164.591848933801,-135.737847864839
1.01,-171.568986577354,-139.478199814386
1.02,-178.720943410441,-143.172681052596
1.03,174.064705222041,-146.797140026305
1.04,166.904824513665,-150.3292760195
1.05,159.906793924815,-153.749273858356
1.06,153.157192178358,-157.040197057014
1.07,146.71571624751,-160.188132185893
1.08,140.614703167688,-163.182108072392
1.09,134.86279114417,-166.013833968227
1.1,129.450592908159,-168.677309639238
1.11,124.356582802678,-171.168359086175
1.12,119.55213293097,-173.484131551904
1.13,115.005304967315,-175.622602121153
1.14,110.683428970371,-177.582092422824
1.15,106.554692292978,-179.360821543152
1.16,102.589003382353,179.043510851964
1.17,98.7583643167539,177.634112779116
1.18,95.0369317400746,176.415466376843
1.19,91.4008929621455,175.393680319009
1.2,87.8282414207901,174.576834857016
1.21,84.2985047696449,173.975322582667
1.22,80.7924578581652,173.602181252917
1.23,77.2918394058205,173.473403649215
1.24,73.7790830962021,173.608191191554
1.25,70.2370695089747,174.029089714008
1.26,66.6489036727342,174.761903643833
1.27,62.9977233899683,175.835225677906
1.28,59.266545499819,177.279343871037
1.29,55.438160758131,179.124209212697
1.3,51.4950929782304,-178.603899189479
1.31,47.4196444012014,-175.887310682857
1.32,43.1940566272909,-172.723506112221
1.33,38.8008239796489,-169.132621050271
1.34,34.2232020772472,-165.16426274652
1.35,29.4459553990056,-160.901002816379
1.36,24.4563785976508,-156.455727518618
1.37,19.2456004020047,-151.961489930049
1.38,13.8101289523348,-147.555502675631
1.39,8.15351954602333,-143.361810505362
1.4,2.28794595070913,-139.477888344239
1.41,-3.76464240260517,-135.968363172855
1.42,-9.97215011724344,-132.865831184303
1.43,-16.293083736671,-130.176427982373
1.44,-22.678575795299,-127.887265023693
1.45,-29.0755552137282,-125.973564037509
1.46,-35.4306194530232,-124.404391204709
1.47,-41.6939499908399,-123.146730411512
1.48,-47.8225986426204,-122.168090371097
1.49,-53.782664774811,-121.437998853252
1.5,-59.5501926624217,-120.928732089415
1.51,-65.1109155196578,-120.615558195829
1.52,-70.4591629270822,-120.47669428522
1.53,-75.5963052663516,-120.493109981669
1.54,-80.5290629378359,-120.648260570219
1.55,-85.2679120043388,-120.927799215493
1.56,-89.8257164215221,-121.319295812671
1.57,-94.2166356430661,-121.811976471611
1.58,-98.4553028156456,-122.39648955309
1.59,-102.556240035503,-123.064699572328
1.6,-106.533466213612,-123.80950782076
1.61,-110.400252968275,-124.624697370399
1.62,-114.168989264589,-125.504799677096
1.63,-117.851122777587,-126.44497995928
1.64,-121.457153226873,-127.440938700043
1.65,-124.996659304076,-128.488826887524
1.66,-128.478345991471,-129.585172906157
1.67,-131.910103070113,-130.726819284538
1.68,-135.299068597512,-131.910867776924
1.69,-138.65169329643,-133.134631497347
1.7,-141.973803327127,-134.395593036376
1.71,-145.27065997634,-135.691367671739
1.72,-148.547015515636,-137.019670937905
1.73,-151.807164957281,-138.378289949278
1.74,-155.05499374023,-139.76505797979
1.75,-158.294021564728,-141.177831891232
1.76,-161.527442699248,-142.614472075914
1.77,-164.758163134518,-144.072824638328
1.78,-167.988834974761,-145.550705587146
1.79,-171.221888448873,-147.045886844613
1.8,-174.459561902825,-148.556083906505
1.81,-177.703930105066,-150.078945003456
1.82,179.043068836863,-151.612041624837
1.83,175.779607685201,-153.152860270472
1.84,172.503945177643,-154.698795294538
1.85,169.214401834271,-156.247142701193
1.86,165.909336301319,-157.795094744149
1.87,162.587122096177,-159.339735173936
1.88,159.246124644699,-160.878034968634
1.89,155.884678526633,-162.406848378043
1.9,152.501064868598,-163.922909109414
1.91,149.093488847404,-165.422826487128
1.92,145.660057291042,-166.903081431077
1.93,142.198756392123,-168.360022121594
1.94,138.707429581297,-169.789859255121
1.95,135.1837556491,-171.188660847578
1.96,131.625227257514,-172.552346615096
1.97,128.029130051711,-173.876682058602
1.98,124.392522673572,-175.157272504497
1.99,120.712218098108,-176.38955751409
2,116.98476686959,-177.568806275989
2.01,113.206443014712,-178.690114845386
2.02,109.373233664963,-179.74840639938
2.03,105.480833739057,179.261563955297
2.04,101.524647427356,178.345197852633
2.05,97.4997986887511,177.508033347995
2.06,93.4011535151348,176.755712588375
2.07,89.223357326221,176.093933868941
2.08,84.9608914956895,175.528383908931
2.09,80.6081536173776,175.06464571611
2.1,76.1595665950609,174.708077170711
2.11,71.6097218246672,174.463655626231
2.12,66.9535614112956,174.33578463413
2.13,62.1866032344959,174.328060641013
2.14,57.3052103997792,174.443000487916
2.15,52.3069028412155,174.68173502106
2.16,47.1907033048062,175.043680200025
2.17,41.957502615881,175.526204543943
2.18,36.6104204187362,176.124319879025
2.19,31.1551285080659,176.83042981108
2.2,25.6000962310864,177.634175206536
2.21,19.9567136517473,178.522415949067
2.22,14.2392508546082,179.479381320387
2.23,8.46462291653487,-179.512993405769
2.24,2.65195001580626,-178.474548199616
2.25,-3.17807129197821,-177.426226629601
2.26,-9.00394119918038,-176.389304369477
2.27,-14.8042058876597,-175.384587516699
2.28,-20.5583013699957,-174.431655591368
2.29,-26.2473113927337,-173.548216485065
2.3,-31.8545737824671,-172.749622246706
2.31,-37.3660944487319,-172.048570113991
2.32,-42.7707567615591,-171.454988285571
2.33,-48.0603399222812,-170.976085418604
2.34,-53.2293787820865,-170.616529557013
2.35,-58.2749075201279,-170.378716703655
2.36,-63.1961312768802,-170.263090329892
2.37,-67.9940653814235,-170.268478636287
2.38,-72.6711738479794,-170.392424091195
2.39,-77.2310297044199,-170.631487846494
2.4,-81.6780111359215,-170.981518854106
2.41,-86.0170403218903,-171.437883279872
2.42,-90.2533665469787,-171.99565398802
2.43,-94.3923916066386,-172.649762589836
2.44,-98.4395334209871,-173.395118090306
2.45,-102.400122763639,-174.226696834616
2.46,-106.279327765777,-175.139608533444
2.47,-110.082101088291,-176.12914285951
2.48,-113.813145153334,-177.190800626466
2.49,-117.476891442428,-178.320313001238
2.5,-121.077490505344,-179.513651636335
2.51,-124.618809925481,179.232967917451
2.52,-128.104438024303,177.923087623596
2.53,-131.537691548043,176.560011701693
2.54,-134.921625963879,175.146813534008
2.55,-138.259047305748,173.686343841869
2.56,-141.552524760038,172.181239452329
2.57,-144.80440337793,170.633932144442
2.58,-148.016816452846,169.046657194461
2.59,-151.191697216356,167.4214613371
2.6,-154.330789590747,165.760209931452
2.61,-157.435657796929,164.06459316995
2.62,-160.507694656793,162.336131200668
2.63,-163.548128453004,160.576178050105
2.64,-166.558028218892,158.785924237366
2.65,-169.538307328122,156.966397962615
2.66,-172.489725238835,155.118464733214
2.67,-175.41288721996,153.242825259907
2.68,-178.308241847286,151.340011411608
2.69,178.823923998199,149.410379958753
2.7,175.983492970315,147.454103758803
2.71,173.170528372441,145.471159938534
2.72,170.385289108135,143.461314499976
2.73,167.628249191587,141.424102611089
2.74,164.900122755218,139.35880362595
2.75,162.201895773191,137.264409594759
2.76,159.534866093823,135.13958564663
2.77,156.900693875709,132.982620122839
2.78,154.301465201747,130.791361654898
2.79,151.739772574259,128.563139448019
2.8,149.218817278319,126.294661740625
2.81,146.742540394924,123.981885608073
2.82,144.315791783744,121.619848729891
2.83,141.94454999017,119.202450089668
2.84,139.63621130652,116.72216128014
2.85,137.399973979179,114.169642292909
2.86,135.247355140917,111.533224039375
2.87,133.192895606779,108.798202223778
2.88,131.255134687928,105.945860075907
2.89,129.457979372807,102.952095115964
2.9,127.832659054176,99.7854581005335
2.91,126.420564034507,96.4043050003829
2.92,125.277438502928,92.7525901739907
2.93,124.47967469713,88.7535529595685
2.94,124.133881923516,84.3001243116751
2.95,124.391497223235,79.2402927363849
2.96,125.470750049792,73.3551426690177
2.97,127.687578042059,66.3280533321003
2.98,131.490262415163,57.7105369216933
2.99,137.464116100412,46.9189593094309
3,146.191615612745,33.3773606989444
3.01,157.754696095184,17.0171507132127
3.02,170.979230103435,-0.976522602607468
3.03,-176.425203470121,-18.3222821028777
3.04,-166.295107965903,-33.2050710654806
3.05,-159.072596814209,-45.193889078369
3.06,-154.324589856444,-54.7212538175238
3.07,-151.432957499266,-62.4013423861813
3.08,-149.879542930279,-68.7489359702489
3.09,-149.288843588547,-74.1373236214575
3.1,-149.400165400677,-78.8258421390482
3.11,-150.033326760528,-82.9938382908127
3.12,-151.062431242283,-86.766676291869
3.13,-152.39803625569,-90.2334410285592
3.14,-153.975430519123,-93.4585884255637
3.15,-155.746951412929,-96.4895876338423
3.16,-157.676901703484,-99.3619815053215
3.17,-159.738135901021,-102.102787313599
3.18,-161.909729089767,-104.732820597939
3.19,-164.175357541942,-107.268310433788
3.2,-166.522154933566,-109.722040960085
3.21,-168.93989163636,-112.104170906893
3.22,-171.420377067994,-114.422830678543
3.23,-173.95701847065,-116.684563342815
3.24,-176.544491031042,-118.894654440756
3.25,-179.178488368076,-121.057381482934
3.26,178.144468199488,-123.176204651194
3.27,175.4271768583,-125.253913915185
3.28,172.671869895642,-127.29274345318
3.29,169.880303593897,-129.294461269808
3.3,167.05382922067,-131.260439797879
3.31,164.193449408936,-133.191711774941
3.32,161.299863142188,-135.089014609726
3.33,158.373501775854,-136.952825673104
3.34,155.414557952332,-138.783390376671
3.35,152.423008843328,-140.580744480485
3.36,149.398634838799,-142.344731758731
3.37,146.341034567591,-144.075017919388
3.38,143.249636960626,-145.771101500943
3.39,140.123710938525,-147.432322341393
3.4,136.962373211651,-149.057868121894
3.41,133.764594614282,-150.646779422064
3.42,130.529205350683,-152.197953681037
3.43,127.254899505697,-153.710148434043
3.44,123.940239163322,-155.181984186229
3.45,120.583658482003,-156.611947291728
3.46,117.183468093638,-157.998393225502
3.47,113.737860223748,-159.33955066729
3.48,110.244914971908,-160.633526860242
3.49,106.702608243436,-161.87831476049
3.5,103.108821883897,-163.071802556465
3.51,99.4613566349523,-164.211786205832
3.52,95.7579485999219,-165.295985709892
3.53,91.9962899749241,-166.322065914675
3.54,88.1740548591074,-167.287662686937
3.55,84.288930995029,-168.190415351068
3.56,80.3386582939258,-169.028006275051
3.57,76.3210749530664,-169.798208441818
3.58,72.2341718523632,-170.49894171418
3.59,68.0761557006673,-171.128338271467
3.6,63.8455210628392,-171.684817336864
3.61,59.5411309125052,-172.167168800752
3.62,55.1623047043079,-172.574644658489
3.63,50.708912138269,-172.90705631633
3.64,46.1814698136715,-173.164874794613
3.65,41.5812368869711,-173.349329723616
3.66,36.9103047423107,-173.462501876092
3.67,32.1716746813408,-173.507402947829
3.68,27.3693169072799,-173.488035560728
3.69,22.5082038070549,-173.409426223343
3.7,17.594310912137,-173.277624436778
3.71,12.6345800872099,-173.099662425058
3.72,7.6368415104068,-172.883472145535
3.73,2.60969379273236,-172.637759201833
3.74,-2.43765509263862,-172.371836781701
3.75,-7.49557991109429,-172.095426369651
3.76,-12.5542539475973,-171.818435243269
3.77,-17.603876703644,-171.550723157564
3.78,-22.6349004918408,-171.301871765303
3.79,-27.6382430242921,-171.080970021085
3.8,-32.60547455503,-170.896427123764
3.81,-37.5289707087662,-170.755821746896
3.82,-42.4020254016441,-170.665792834804
3.83,-47.2189217538736,-170.631973610678
3.84,-51.9749621532827,-170.658967121169
3.85,-56.6664613008789,-170.750358978212
3.86,-61.290707949573,-170.90876114357
3.87,-65.8459020819925,-171.135879667074
3.88,-70.3310745347718,-171.432599142416
3.89,-74.7459957188979,-171.799077112581
3.9,-79.091079298756,-172.23484253822
3.91,-83.367285664649,-172.738893542188
3.92,-87.5760289251005,-173.309790800359
3.93,-91.7190900764289,-173.945744044944
3.94,-95.7985380559419,-174.644690107772
3.95,-99.8166595924743,-175.404361721393
3.96,-103.775898145936,-176.222346907663
3.97,-107.678801768328,-177.096139228196
3.98,-111.527979402885,-178.023179470738
3.99,-115.32606494091,-179.000889526836
4,-119.075688251829,179.973300694242
4.01,-122.779452367263,178.901932448127
4.02,-126.439916014021,177.787502591845
4.03,-130.059580737249,176.632452486316
4.04,-133.640881920602,175.439160649334
4.05,-137.186183085715,174.209938524185
4.06,-140.697772931708,172.947028811655
4.07,-144.177864652384,171.652605893379
4.08,-147.628597141543,170.328777949849
4.09,-151.052037763721,168.977590445536
4.1,-154.4501864283,167.601030716088
4.11,-157.824980759119,166.201033448581
4.12,-161.178302200112,164.779486895849
4.13,-164.511982940658,163.338239710729
4.14,-167.827813583203,161.879108326675
4.15,-171.127551511325,160.403884848398
4.16,-174.412929949683,158.914345451271
4.17,-177.685667739533,157.412259322097
4.18,179.052520114321,155.899398207749
4.19,175.799911035706,154.377546673351
4.2,172.554762482673,152.848513209455
4.21,169.315298400163,151.314142369647
4.22,166.079694306484,149.776328168082
4.23,162.846060744957,148.237029022684
4.24,159.612424765239,146.698284597153
4.25,156.37670901716,145.162234976703
4.26,153.136707938717,143.631142713261
4.27,149.890060393388,142.107418401387
4.28,146.634217952475,140.593650603881
4.29,143.3664078157,139.092641145979
4.3,140.083589104371,137.607447052293
4.31,136.78240092835,136.141430728767
4.32,133.459100196789,134.698320416622
4.33,130.109486581004,133.282283498236
4.34,126.728811302232,131.898015959336
4.35,123.311665448142,130.550852266276
4.36,119.851842239404,129.246901181062
4.37,116.342165962112,127.993214718338
4.38,112.774278005935,126.797999693853
4.39,109.1383674046,125.670884318698
4.4,105.422829207089,124.623256314648
4.41,101.613828591082,123.66869438762
4.42,97.6947414896298,122.823521979388
4.43,93.6454332798267,122.10752139579
4.44,89.4413256396696,121.544857861426
4.45,85.0521886091368,121.165276274468
4.46,80.4405827300144,121.00564609527
4.47,75.5598721129018,121.111935099139
4.48,70.3517513074817,121.541673619185
4.49,64.7433180749798,122.366887988834
4.5,58.643969222746,123.677249647817
4.51,51.9429739044756,125.582633111783
4.52,44.5097930890989,128.213100183539
4.53,36.2014363318624,131.712146243201
4.54,26.8842827391381,136.215882421113
4.55,16.4795125599945,141.808819873002
4.56,5.03407023632797,148.453354274048
4.57,-7.20758791646217,155.915838647618
4.58,-19.7924801587077,163.750052273064
4.59,-32.1611880696569,171.394145562896
4.6,-43.8221431094738,178.345826126656
4.61,-54.4788650026325,-175.7040286067
4.62,-64.0431729068157,-170.852647683309
4.63,-72.5712429577657,-167.048014527221
4.64,-80.1887879409747,-164.165067012769
4.65,-87.0391634581303,-162.059339634881
4.66,-93.2567630705453,-160.59473375494
4.67,-98.9570413737336,-159.654068160402
4.68,-104.235031071918,-159.140776884903
4.69,-109.16737542083,-158.976921004638
4.7,-113.815385217945,-159.10010979199
4.71,-118.22805089293,-159.460448994579
4.72,-122.444635248552,-160.017909869666
4.73,-126.496775666178,-160.740196197206
4.74,-130.410140105651,-161.601065693466
4.75,-134.205714143834,-162.579027523659
4.76,-137.900796208219,-163.656337298147
4.77,-141.509767001659,-164.818222199517
4.78,-145.044685915305,-166.052282325342
4.79,-148.515755300527,-167.348026496129
4.8,-151.931683720326,-168.696510725293
4.81,-155.29997169673,-170.090055302558
4.82,-158.627137680924,-171.522022342767
4.83,-161.918897616879,-172.986640088138
4.84,-165.180308208875,-174.478863570387
4.85,-168.415881565429,-175.99426371931
4.86,-171.629677066717,-177.528938861623
4.87,-174.825374931842,-179.079443949525
4.88,-178.006334929256,179.35726608808
4.89,178.824357107507,177.783881679876
4.9,175.663852888954,176.202774832293
4.91,172.509513783295,174.616027973224
4.92,169.358890154546,173.025456807664
4.93,166.20970690062,171.432628316616
4.94,163.05985435557,169.838874854815
4.95,159.90738385502,168.245305207037
4.96,156.750507354196,166.652813457871
4.97,153.587600541031,165.062086643614
4.98,150.417208907813,163.473612441433
4.99,147.238056238246,161.887688708194
5,144.049054936601,160.304437683657
